,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
38,"@CorneliaBreusz @SWiesholzer Die haben auch die  @RentabimTramway bei der Trasse ausgebremst, mussten über Karlspla… https://t.co/Y2SxfXqb1N","                                                    ,         ü            …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
39,RT @AnaelicCosplay: Karlsplatz 🕌 https://t.co/ITPjYqGv1B,            🕌      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
41,"@lukas_abulesz @infraexplained @a_sator Die war ohnehin nur die Konsequenz daraus, U-Bahn-Kilometer zu generieren.… https://t.co/GVtrrgHlBo"," _           _                                               ,  -    -                       .…      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
42,Karlsplatz 🕌 https://t.co/ITPjYqGv1B,           🕌      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
43,"#HamburgerFischmarkt

Das wird ein Fest – nicht nur für Flossen-Fans!
Hamburger Fischmarkt in Stuttgart

Pling! End… https://t.co/up9rCcP4ws","#                   

                  –            ü         -    !
                                 

     !    …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
44,"Zuerst #Stromausfall in 1080, jetzt Bimausfall ab Karlsplatz","       #                    ,                               ",0.0,0.0,neutral,0.0,0.0,0.0,0.0
45,"#HamburgerFischmarkt

Das wird ein Fest – nicht nur für Flossen-Fans!
Hamburger Fischmarkt in Stuttgart

Pling! End… https://t.co/7X8F8wNLk2","#                   

                  –            ü         -    !
                                 

     !    …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
46,"RT @StadtMuenchen: 🇩🇪 In der Innenstadt gilt noch bis 24 Uhr ein Verbot von Glasflaschen (Karlsplatz bis Isartor, Marienplatz &amp; Viktualienm…"," 🇩🇪                                                                    (                      ,             &   ;            …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
47,"@philbrokes Meine Tante hatte das Cafe am Karlsplatz, hat bei Beginn der Bauarbeiten für immer zugesperrt! 😢","                                          ,                                 ü                  ! 😢",0.0,0.0,neutral,0.0,0.0,0.0,0.0
48,RT @Michael_Leh: @DESelv @IGFM_DE Kleine Ergänzung: u.a. bauten wir 1987 mitten auf dem Karlsplatz/Stachus in München ein Mauermodell mit S…,    _             ä     :  . .                                          /            ü                           …,0.0,0.0,neutral,0.0,0.0,0.0,0.0
49,"@genderklage Ich wäre für ""C"", weil um Karlsplatz sichtbarer oder um Praterstern, da U1/U2 auch populär wäre &amp; teil… https://t.co/rPVZ7R1t9w","       ä    ü  "" "",                                                  ,      /             ä   ä   &   ;     …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
50,"""Aufgrund Bauarbeiten am Karlsplatz Stachus wird nicht angehalten.""
Gut gedeutscht.","""                                                                .""
              .",0.0,0.0,neutral,0.0,1.0,0.0,0.0
51,Ich geh lieber am Karlsplatz Crack rauchen aber danke für die Einladung! https://t.co/i9Y0uKySBw,                                                       ü               !      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
52,"@MyMissMM Ich finde , von diesem Account müsste jetzt langsam mal ein Kochbuch in Produktion gehen … mit heissen Ti… https://t.co/X5qQMLlB0r","            ,                     ü                                                        …               …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
53,https://t.co/MprqTL7NZN - mit #9Euroticket geht es auch zu Ausgrabungen,     :// .  /           -     #                                        ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
54,@melindersaubara @jonnschki warst du schon mal am karlsplatz weil ich sehe da was anderes,                                                                 ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
55,"@miichelleDeko Ich kann nicht wegen Social Anxiety und Panik bei Menschenmassen 🫡

Und die Strecke ist vom Rathausp… https://t.co/EXbwWVUMhn","                                                                   🫡

                                …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
56,ist eigentlich am karlsplatz wieder was los dieses jahr oder ist das vorbei ? 🤨,                                                                            ? 🤨,0.0,0.0,neutral,0.0,0.0,0.0,0.0
57,@ThomasPoebel Mit Stirnlampe gings sogar vom Naschmarkt unterm Karlsplatz bis zum Stadtpark.,                                                                               .,0.0,0.0,neutral,0.0,0.0,0.0,0.0
58,"Wenn es regnet, dann glaub ich selbst um den Karlsplatz heraum, dass die Radwege in Wien mir alleine gehörten. Komm… https://t.co/2CBVt7LcAh","              ,                                               ,                                         ö    .     …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
59,RT @_barbara_laa: Tipp an Lehrende: lasst die Art der Präsentation offen! 😍gestern haben uns zwei Studis am Karlsplatz durch die Radentsche…,                 :                     ä               ! 😍                                                                …,0.0,0.0,neutral,0.0,0.0,0.0,0.0
62,@chorherr Bin für Variante B - die Radler sind aufgrund des Gefälles eh meist so schnell wie die Autos … Die Gestal… https://t.co/GWEosN2wzp,       ü             -                                 ä                                       …           …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
64,@radlobby @gehtdoch_at @fahrradwien @platzfuerwien Aber jetzt mal ehrlich: jetzt gibt's dort wieder Parkplätze nebe… https://t.co/fHCoxfHzxB,   _                             :           '                    ä        …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
65,"Dachte, es ist eine gute Idee, von Karlsplatz kommend übern Reumannplatz ins UKH zu fahren statt über Meidling u ma… https://t.co/AAWOXdTe5f","      ,                      ,                        ü                                          ü                 …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
68,Wichtiger Erfolg von @NeosWien und NEOS 1040. Für ein gutes und friedliches Miteinander am Karlsplatz! 💪 https://t.co/PuaLSf374H,                                    .  ü                                                     ! 💪      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
