,activity,pose
0,using a computer,upright
1,writing on a book,upright
2,waving hands,upright
3,cutting vegetables,sitting
4,rowing a boat,upright
5,jumping,upright
6,looking through a telescope,upright
7,rowing a boat,upright
8,running,sitting
9,drinking,upright
10,riding a bike,upright
11,riding a bike,upright
12,waving hands,upright
13,phoning,upright
14,riding a bike,upright
15,climbing,sitting
16,waving hands,upright
17,walking the dog,upright
