,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
23,"In Hof (Bayern) sind es am 16.06.2022 um 06:57Uhr genau 15.1°C, gefühlt sind es 15°C. Aktuelles Wetter: 🌥  Überwiegend bewölkt. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : 🌥  ü              ö   . #        ",0.0,0.0,neutral,0.0,0.0,0.0,0.0
24,@Funkgestoert Ich geh gleich raus. Am Hof ist einiges zum nachholen. Bei dem Wetter ein Spaß 😊,                     .                                 .                       ß 😊,0.0,0.0,neutral,0.0,0.0,0.0,0.0
25,"In Hof (Bayern) sind es am 16.06.2022 um 06:01Uhr genau 13.2°C, gefühlt sind es 12°C. Aktuelles Wetter: 🌤  Ein paar Wolken. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : 🌤                 . #        ",0.0,0.0,neutral,0.0,0.0,0.0,0.0
26,"In Hof (Bayern) sind es am 16.06.2022 um 04:58Uhr genau 13.9°C, gefühlt sind es 13°C. Aktuelles Wetter: ☁️  Überwiegend bewölkt. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : ☁️  ü              ö   . #        ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
27,"In Hof (Bayern) sind es am 16.06.2022 um 03:59Uhr genau 13.9°C, gefühlt sind es 13°C. Aktuelles Wetter: ☁️  Ein paar Wolken. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : ☁️                 . #        ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
28,"In Hof (Bayern) sind es am 16.06.2022 um 03:01Uhr genau 14.0°C, gefühlt sind es 13°C. Aktuelles Wetter: ☁️  Mäßig bewölkt. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : ☁️   äß      ö   . #        ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
29,"In Hof (Bayern) sind es am 16.06.2022 um 02:00Uhr genau 14.9°C, gefühlt sind es 14°C. Aktuelles Wetter: 🌕  Klarer Himmel. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : 🌕               . #        ",0.0,0.0,neutral,0.0,0.0,0.0,0.0
30,"In Hof (Bayern) sind es am 16.06.2022 um 00:59Uhr genau 15.3°C, gefühlt sind es 15°C. Aktuelles Wetter: 🌕  Klarer Himmel. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : 🌕               . #        ",0.0,0.0,neutral,0.0,0.0,0.0,0.0
31,"In Hof (Bayern) sind es am 15.06.2022 um 23:57Uhr genau 16.6°C, gefühlt sind es 16°C. Aktuelles Wetter: 🌕  Klarer Himmel. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : 🌕               . #        ",0.0,0.0,neutral,0.0,0.0,0.0,0.0
32,"@ThomasWalach Muss sagen, seit die bei uns am Hof stehen, ist das eine meiner Lieblingsbeschäftigungen wenn ich mal… https://t.co/qm2q0ZC9zy","            ,                               ,                                   ä                      …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
