,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
28,"@hk_net ja, endlich wieder durchzugsverkehr auf der kärntnerstrasse. man könnt auch den alten plan wieder aufwärmen… https://t.co/1MEkvZiETN"," _      ,                                          ä             .      ö                                   ä    …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
29,VP-Mahrer ad Wiederkehr: Vorstellung und Realität der Ereignisse in Wiener Innenstadt klaffen weit auseinander… https://t.co/efrU01aOax,  -                    :                       ä                                                              …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
30,RT @LPDWien: Am Stephansplatz werden Bild- und Tonaufnahmen durchgeführt. Sollten sich strafbare Handlungen ereignen werden diese zur Ausfo…,                             -                          ü   .                                                                  …,0.0,0.0,neutral,0.0,0.0,0.0,0.0
31,"@BrianCSchmidt @fabian_schmid ich war ja nicht dort, aber die familienkasperln am stephansplatz, das waren sicher alles ausländer, oder?","   _                            ,                                           ,                            ä    ,     ?",0.0,0.0,neutral,0.0,0.0,0.0,0.0
32,RT @_schwarzeKatze: Pro-Pride-Demo am Stephansplatz ist nun gekesselt. Es wird eine Anhaltung für die Dauer der Fundi-Demo durchgesagt. htt…,    -     -                                       .                         ü                     -                .    …,0.0,0.0,neutral,0.0,0.0,0.0,0.0
34,"RT @Danijel_Suster: Am Nachmittag wurden Linke mit Pfefferspray attackiert und vom Stephansplatz vertrieben, damit Rechtsextreme und Fundam…","                                                                                        ,                               …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
35,"Gestern bei #w1106 - gegen-gegen-Demo auf dem Stephansplatz. Wir waren massiv in der Überzahl, ertränken die Fundi-… https://t.co/Sh6xb0lS78","            #      -      -     -                          .                         ü       ,     ä              -…      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
37,"@wienerlinien ihr seids lange damit durchgekommen, aber jetzt kommt der Schock am Sonntag: alle Pläne in der Statio… https://t.co/qdr4SduVyI","                                     ,                                       :        ä                …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
40,@chriswiederkehr Tun Sie lieber was gegen die gewaltbereite Polizei und stellen Sie sich das nächste Mal am Stephan… https://t.co/RyPwKMGdAb,                                                                               ä                    …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
42,@GruenePenzing Danke dass ihr teilnehmt in Solidarität! Wär schön wenn uns die Politik nächstes Jahr auch gegen die… https://t.co/hm4DxrQCPC,                                       ä !  ä     ö                        ä                          …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
43,"RT @YouDidinVienna: Hab soeben erfahren, dass die Katholische Jugend Österreichs heuer zum ersten Mal einen Wagen bei der #Pride stellt: #O…","                    ,                             ö                                                    #            : # …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
46,"RT @rosaantifawien: Wiener Linien: ""We ride with pride""

Wir erinnern uns: Letztes Jahr hat die Polizei Personen die ihnen queer erschienen…","              : ""                  ""

                :                                                                 …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
47,Kurier über Wiener Regenbogenparade: Hunderttausende bei der Pride und Pfefferspray am Stephansplatz… https://t.co/BvBoVarJjF,       ü                           :                                                                …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
49,"RT @rosaantifawien: 14:10 Kundgebung wird von Cops breit abgeschirmt, aber von einer wütenden Menge am Stephansplatz extrem laut ausgepfiff…","   :                                             ,                 ü                                                    …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
53,@kischtrine Und Flohmarkt auf dem Stephansplatz,                                     ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
54,"Am Nachmittag wurden Linke mit Pfefferspray attackiert und vom Stephansplatz vertrieben, damit Rechtsextreme und Fu… https://t.co/k9GKTbrnv1","                                                                                       ,                           …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
55,@guztav_g @mariefantastie Die stephansplatz Punks sind dann die generalicenter Punks geworden 😜, _                                                                        😜,0.0,0.0,neutral,0.0,0.0,0.0,0.0
57,@6Interro6bang6 @allesmittelgrau Nein. Das sind Fundamental Katholiken. https://t.co/SVSFkQbVzg,@                     .                                .      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
62,@Sepsndepsn War der nicht eh heute am Stephansplatz..?,                                         ..?,0.0,0.0,neutral,0.0,1.0,0.0,0.0
64,"Hysterisches Rufen aus den Ecken der Steuergeld finanzierten ""Buntlinge"" die den Schutz der Familie als ""Nazi-Propa… https://t.co/848hL9YXbn","                                                             ""         ""                                ""    -     …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
