,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,"Schönborn: Krisenzeiten erfordern ""Miteinander statt Vernaderung"" #Michaelerplatz #Wien https://t.co/oGDv6dxccS","   ö     :                        ""                             "" #               #          :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
1,RT @DiePressecom: Was selbst den härtesten Granit kleinkriegen kann. Oder: Vom Rumpeln als Geschichtserfahrung. #Wien #Michaelerplatz https…,                 ä                                .     :                                    . #     #                    …,0.0,0.0,neutral,0.0,0.0,0.0,0.0
2,Was selbst den härtesten Granit kleinkriegen kann. Oder: Vom Rumpeln als Geschichtserfahrung. #Wien #Michaelerplatz https://t.co/RHIbRXWyTT,                ä                                .     :                                    . #     #                    :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
3,Waschrumpel Michaelerplatz Thema in @DiePressecom. Endlich! Was die Hufe der Fiaker🐴 für Wirkung haben. Wäre auch w… https://t.co/98OwssXNFl,                                     .        !                        🐴  ü               .  ä         …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
4,@ChristianMock @hk_net michaelerplatz!!!! 😱,   _                  !!!! 😱,0.0,0.0,neutral,0.0,1.0,0.0,0.0
5,"@LamimaGC vlt ist deshalb der Boardstein höher, um Autofahrer*innen vom parken in Wiesen fernzuhalten, was hingegen… https://t.co/QPF79AgdvG","                                  ö   ,              *                                       ,             …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
6,Marsch ist jetzt am Michaelerplatz #w1106 https://t.co/OCXBLR05BO,                                   #           :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
7,"@LeaMilicevic1 Die Rechtsextremen wollen nach Kundgebung über Graben, Kohlmarkt, Michaelerplatz zum Ballhausplatz ziehen.","                                             ü          ,          ,                                        .",0.0,0.0,neutral,0.0,0.0,0.0,0.0
