,activity,pose
0,watching tv,upright
1,throwing frisby,upright
2,watching tv,sitting
3,cooking,upright
4,texting message,upright
5,pushing a cart,upright
6,reading,upright
7,pushing a cart,upright
8,reading,sitting
9,walking the dog,sitting
