,activity,pose
0,looking through a telescope,upright
1,applauding,upright
2,applauding,upright
3,drinking,upright
4,drinking,sitting
5,cooking,upright
6,pouring liquid,sitting
7,drinking,upright
8,applauding,upright
9,waving hands,upright
10,waving hands,upright
11,waving hands,upright
