,activity,pose
0,phoning,upright
1,phoning,upright
2,using a computer,upright
3,cooking,upright
4,pouring liquid,sitting
5,watching tv,upright
6,drinking,sitting
7,drinking,sitting
8,reading,sitting
9,reading,upright
10,applauding,upright
11,cutting vegetables,sitting
12,applauding,upright
13,applauding,upright
14,riding a bike,upright
15,drinking,sitting
16,cooking,sitting
17,looking through a telescope,upright
18,jumping,upright
19,taking photos,upright
