,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,#Wohnung #zuvermieten #Luzern #KantonLuzern #SchweizPRAKTISCH UND ZENTRAL Diese helle und moderne 1.5-Zimmer Etage… https://t.co/BTPYBAbeyp,#        #            #       #             #                                                      . -            …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
1,"On the way to Franziskanerplatz 
.
.
.
#vienna #wien #franziskanerplatz #kleinescafe @ Franziskanerplatz (Wien) https://t.co/cfRSCoFBMd","                                
.
.
.
#       #     #                  #            @                   (    )      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
2,"Person im Aufzug - Alter Franziskanerplatz
(https://t.co/r7k39rFiKR)","                 -                        
(     :// .  /          )",0.0,0.0,neutral,0.0,1.0,0.0,0.0
