,activity,pose
0,applauding,upright
1,applauding,upright
2,waving hands,upright
3,playing violin,upright
4,applauding,upright
5,applauding,sitting
6,playing guitar,upright
7,writing on a book,sitting
8,playing guitar,sitting
9,applauding,upright
10,applauding,upright
11,applauding,upright
12,drinking,sitting
13,watching tv,upright
14,waving hands,sitting
15,drinking,upright
16,reading,upright
17,applauding,upright
18,playing violin,sitting
19,applauding,upright
