,activity,pose
0,reading,sitting
1,feeding a horse,upright
2,walking the dog,upright
3,waving hands,upright
4,pushing a cart,upright
5,fixing a car,upright
6,running,upright
7,feeding a horse,upright
8,waving hands,upright
9,feeding a horse,upright
10,feeding a horse,sitting
11,waving hands,upright
12,feeding a horse,upright
