,activity,pose
0,holding an umbrella,upright
1,applauding,upright
2,cutting vegetables,upright
3,drinking,upright
4,looking through a telescope,upright
5,applauding,upright
6,feeding a horse,sitting
7,looking through a telescope,upright
8,pushing a cart,upright
9,reading,sitting
10,reading,upright
11,applauding,upright
12,fixing a bike,upright
