,activity,pose
0,feeding a horse,upright
1,pushing a cart,upright
2,pushing a cart,upright
3,smoking,sitting
4,writing on a book,sitting
5,taking photos,sitting
6,feeding a horse,upright
7,feeding a horse,upright
