,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,"@dollensky Das ist der Wasserwellen-Lebens-Brunnen in der Bruno Kreisky Gasse, die vom Ballhausplatz zum Minoritenp… https://t.co/0NZCOhBcSe","                          -      -                                  ,                                     …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
1,@Kosak_Daniel @florianklenk Sieht nach Minoritenplatz/Ballhausplatz aus, _                                  /                 ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
