,activity,pose
0,writing on a book,sitting
1,pouring liquid,sitting
2,waving hands,upright
3,pushing a cart,upright
4,texting message,upright
5,applauding,upright
6,taking photos,upright
7,waving hands,sitting
8,drinking,upright
9,applauding,upright
10,playing guitar,upright
