,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
28,"Moin Festival-Freunde!

2 Monate vor dem #Frequenzen22 hat die DLZ gestern den 1. medialen Aufschlag gemacht.

Wir… https://t.co/FCo4w29Ief","             -       !

                 #                                      .                           .

   …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
29,RT @AnwaltErdem: Am 02.07.1993 wurde in der türkischen Stadt Sivas eine alevitische Kulturveranstalltung im Madimak-Hotel in Brand gesetzt…,      .  .                   ü                                                                     -                      …,0.0,0.0,neutral,0.0,0.0,0.0,0.0
30,Heute 18 Uhr wieder: Friedenstreffen am Rathausplatz in #freigericht Somborn!,                   :                                    #                   !,0.0,0.0,neutral,0.0,0.0,0.0,0.0
31,"@redrednose @aut_joseph Sicher, wäre schön aber wir haben seit 2018 kein Auto mehr. Mitten in Wien 🇦🇹 hast du nur P… https://t.co/5fkFkbSBTK","   _             ,  ä      ö                                         .                🇦🇹              …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
32,"@tschiners @tkschland @tkschlaendle Meinen Turm habe ich vor, puh glaube 14 Jahren aufm Weihnachtsmarkt am Rathausplatz gekauft 😁","                              ,                                                                   😁",0.0,0.0,neutral,0.0,0.0,0.0,0.0
33,Eulenfiguren und Palmen aus Holz: Mit solchen Accessoires bereitet das Team der Spiellinie die Krusenkoppel auf die… https://t.co/ZhKzhcpjHg,                                :                                                                                  …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
35,Krusenkupplung und Rathausplatz machen sich bereit https://t.co/PKmUrHJMNb,                                                        :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
38,Am 02.07.1993 wurde in der türkischen Stadt Sivas eine alevitische Kulturveranstalltung im Madimak-Hotel in Brand g… https://t.co/CyytVzubUa,     .  .                   ü                                                                     -                …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
39,Endlich🤩! Morgen starten die „Tage der Demokratie“ in Hamburg. Wir wandeln auf den Spuren der Demokratie mit der… https://t.co/IRpDVC4xZ7,       🤩!                    „                   “           .                                                  …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
40,RT @WienInfoB2B: 2022 prägen #OpenAir-Konzerte und -Festivals Wiens sommerlichen Kulturgenuss. ☀️🎵 Vom #SummerNightConcert über das #Donaui…,        ä    #       -             -                                         . ☀️🎵     #                   ü        #      …,0.0,0.0,neutral,0.0,1.0,0.0,0.0
